0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:47 +0900] "GET /ServletStudy/gugudan2.jsp??col=2 HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:49 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:49 +0900] "GET /ServletStudy/gugudan2.jsp??col=4 HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:52 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:52 +0900] "GET /ServletStudy/gugudan2.jsp??col=5 HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:56 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:56 +0900] "GET /ServletStudy/gugudan2.jsp??col=5 HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:07 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:07 +0900] "GET /ServletStudy/gugudan2.jsp?col=5 HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:12 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:12 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:15 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:15 +0900] "GET /ServletStudy/gugudan2.jsp?col=5 HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:27 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
